workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
DS-CNN-KWS,3,kws_ds1,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,112179.19999999998,4873,0.125795198029961,5809.881387235789,1.0143518518518517,104797888.0
DS-CNN-KWS,3,kws_ds1,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,113228.80000000002,4919,0.12461882496442367,5755.550315104696,1.0238425925925927,105712368.0
DS-CNN-KWS,3,kws_ds1,WS,ROW_MAJOR,WS-RM,16,16384,16,4,122306.56000000001,13913,0.044059512685977145,2034.899159059872,1.105925925925926,113620128.0
DS-CNN-KWS,3,kws_ds1,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,110592.0,12581,0.0487242667514506,2250.341944201574,1.0,103415808.0
DS-CNN-KWS,3,kws_ds1,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,116940.79999999999,13303,0.04607983161692851,2128.2080733669095,1.0574074074074074,108945808.0
DS-CNN-KWS,4,kws_ds2,OS,ROW_MAJOR,OS-RM,16,16384,16,4,160752.00000000003,1196,0.9941471571906354,11835.933110367892,1.0063100961538463,176656224.0
DS-CNN-KWS,4,kws_ds2,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,160293.12,1193,0.9966471081307627,11865.696563285834,1.0034375,176162304.0
DS-CNN-KWS,4,kws_ds2,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,159744.0,1189,1.0,11905.61480235492,1.0,175570944.0
DS-CNN-KWS,4,kws_ds2,IS,ROW_MAJOR,IS-RM,16,16384,16,4,159744.0,9269,0.12827705254072716,1527.2171755313411,1.0,175570944.0
DS-CNN-KWS,4,kws_ds2,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,160931.84,9337,0.1273428296026561,1516.0946770911428,1.0074358974358975,176849984.0
DS-CNN-KWS,4,kws_ds2,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,161689.6,9381,0.12674554951497707,1508.9836904381195,1.0121794871794871,177665904.0
DS-CNN-KWS,4,kws_ds2,WS,ROW_MAJOR,WS-RM,16,16384,16,4,182517.75999999998,7683,0.15475725628009893,1842.4802811401796,1.1425641025641025,200096144.0
DS-CNN-KWS,4,kws_ds2,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,159744.0,6725,0.17680297397769518,2104.948104089219,1.0,175570944.0
DS-CNN-KWS,4,kws_ds2,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,171991.04,7240,0.16422651933701657,1955.217679558011,1.0766666666666667,188760064.0
ResNet-18,1,res18_l1,OS,ROW_MAJOR,OS-RM,16,16384,16,4,528588.8,9075,0.8292011019283747,25477.797024793388,1.2060747663551403,378710192.0
ResNet-18,1,res18_l1,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,494469.12,8489,0.8864412769466368,27236.542348922136,1.1282242990654205,357995792.0
ResNet-18,1,res18_l1,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,438272.0,7525,1.0,30725.71534883721,1.0,323878912.0
ResNet-18,1,res18_l1,IS,ROW_MAJOR,IS-RM,16,16384,16,4,438272.0,5445,1.382001836547291,42462.99504132231,1.0,323878912.0
ResNet-18,1,res18_l1,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,462469.11999999994,5745,1.309834638816362,40245.60626631854,1.0552102803738317,338568832.0
ResNet-18,1,res18_l1,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,478592.0,5945,1.2657695542472667,38891.67502102607,1.091997663551402,348357072.0
ResNet-18,1,res18_l1,WS,ROW_MAJOR,WS-RM,16,16384,16,4,443965.44,203462,0.036984793229202506,1136.3842289960778,1.0129906542056075,327335232.0
ResNet-18,1,res18_l1,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,438272.0,200853,0.0374652108756155,1151.145404848322,1.0,323878912.0
ResNet-18,1,res18_l1,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,441333.76,202256,0.03720532394589036,1143.1601930227039,1.0069859813084112,325737552.0
ResNet-18,2,res18_l2,OS,ROW_MAJOR,OS-RM,16,16384,16,4,262358.4,2738,0.8550036523009495,42222.60920379839,1.1699058219178082,191252096.0
